mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
16	16	3/4	3/4	4/4	2	1		IV6	Ab	I		IV6		IV		6						M	0	0	3, 0, -1		-1	3
17	17	0	0	4/4	2	1		I	Ab	I		I		I								M	0	0	0, 4, 1		0	0
18	18	1/4	1/4	4/4	2	1		V7	Ab	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
19	19	0	0	4/4	2	1		I(#96#4)	Ab	I		I(#96#4)		I			#96#4					M	0	0	0, 4, 6, 3	9	0	0
19	19	1/2	1/2	4/4	2	1		I]|IAC}	Ab	I		I		I					]	IAC	}	M	0	0	0, 4, 1		0	0
19	19	3/4	3/4	4/4	2	1		{	Ab	I											{		0	0				
20	20	3/4	3/4	4/4	2	1		IV6	Ab	I		IV6		IV		6						M	0	0	3, 0, -1		-1	3
21	21	0	0	4/4	2	1		V6/vi	Ab	I		V6/vi		V		6		vi				M	0	0	8, 5, 4		4	8
21	21	3/4	3/4	4/4	2	1		#viio7/vi	Ab	I		#viio7/vi		#vii	o	7		vi				o7	0	0	8, 5, 2, -1		8	8
22	22	0	0	4/4	2	1		vi6(#11)	Ab	I		vi6(#11)		vi		6	#11					m	0	0	0, 4, 3	9	3	0
22	22	1/4	1/4	4/4	2	1		vi6	Ab	I		vi6		vi		6						m	0	0	0, 4, 3		3	0
22	22	1/2	1/2	4/4	2	1		ii%65(2)/V	Ab	I		ii%65(2)/V		ii	%	65	2	V				%7	0	0	0, -3, 1, 5		3	0
22	22	3/4	3/4	4/4	2	1		ii%65/V	Ab	I		ii%65/V		ii	%	65		V				%7	0	0	0, -3, 1, 3		3	0
23	23	0	0	4/4	2	1		V/V	Ab	I		V/V		V				V				M	0	0	2, 6, 3		2	2
23	23	1/4	1/4	4/4	2	1		viio65/V	Ab	I		viio65/V		vii	o	65		V				o7	0	0	3, 0, -3, 6		6	3
23	23	1/2	1/2	4/4	2	1		I6/V	Ab	I		I6/V		I		6		V				M	0	0	5, 2, 1		1	5
24	24	1/4	1/4	4/4	2	1		viio43/V	Ab	I		viio43/V		vii	o	43		V				o7	0	0	0, -3, 6, 3		6	0
24	24	1/2	1/2	4/4	2	1		I6/V	Ab	I		I6/V		I		6		V				M	0	0	5, 2, 1		1	5
25	25	3/4	3/4	4/4	2	1		ii%43/ii	Ab	I		ii%43/ii		ii	%	43		ii				%7	0	0	-2, 2, 4, 1		4	-2
26	26	0	0	4/4	2	1		i64/ii	Ab	I		i64/ii		i		64		ii				m	0	0	3, 2, -1		2	3
26	26	3/4	3/4	4/4	2	1		V7/ii	Ab	I		V7/ii		V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
27	27	1/4	1/4	4/4	2	1		i/ii	Ab	I		i/ii		i				ii				m	0	0	2, -1, 3		2	2
28	28	0	0	4/4	2	1		V(64)/bVII	Ab	I		V(64)/bVII		V			64	bVII				M	0	0	-1, -2, 2		-1	-1
28	28	1/2	1/2	4/4	2	1		V7/bVII	Ab	I		V7/bVII		V		7		bVII				Mm7	0	0	-1, 3, 0, -3		-1	-1
29	29	0	0	4/4	2	1		I/bVII|PAC}	Ab	I		I/bVII		I				bVII		PAC	}	M	0	0	-2, 2, -1		-2	-2
30	30	0	0	4/4	2	1		V43/v{	Ab	I		V43/v		V		43		v			{	Mm7	0	0	3, 0, 2, 6		2	3
30	30	1/2	1/2	4/4	2	1		v	Ab	I		v		v								m	0	0	1, -2, 2		1	1
31	31	0	0	4/4	2	1		#viio7(b11)/v	Ab	I		#viio7(b11)/v		#vii	o	7	b11	v				o7	0	0	6, 3, 0, -3	-9	6	6
31	31	1/2	1/2	4/4	2	1		#viio7/v	Ab	I		#viio7/v		#vii	o	7		v				o7	0	0	6, 3, 0, -3		6	6
32	32	0	0	4/4	2	1		V43/v	Ab	I		V43/v		V		43		v				Mm7	0	0	3, 0, 2, 6		2	3
32	32	1/2	1/2	4/4	2	1		v	Ab	I		v		v								m	0	0	1, -2, 2		1	1
33	33	0	0	4/4	2	1		#viio7(b11)/v	Ab	I		#viio7(b11)/v		#vii	o	7	b11	v				o7	0	0	6, 3, 0, -3	-9	6	6
33	33	1/2	1/2	4/4	2	1		#viio7/v	Ab	I		#viio7/v		#vii	o	7		v				o7	0	0	6, 3, 0, -3		6	6
34	34	0	0	4/4	2	1		V43/v	Ab	I		V43/v		V		43		v				Mm7	0	0	3, 0, 2, 6		2	3
34	34	1/2	1/2	4/4	2	1		ii%43	Ab	I		ii%43		ii	%	43						%7	0	0	-4, 0, 2, -1		2	-4
35	35	0	0	4/4	2	1		V7	Ab	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
35	35	1/2	1/2	4/4	2	1		vii64	Ab	I		vii64		vii		64						m	0	0	6, 5, 2		5	6
36	36	0	0	4/4	2	1		V2	Ab	I		V2		V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
36	36	1/2	1/2	4/4	2	1		V7/vi	Ab	I		V7/vi		V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
37	37	0	0	4/4	2	1		V(64)/bVI	Ab	I		V(64)/bVI		V			64	bVI				M	0	0	-3, -4, 0		-3	-3
38	38	1/2	1/2	4/4	2	1		V7(6)/bVI	Ab	I		V7(6)/bVI		V		7	6	bVI				Mm7	0	0	-3, 1, 0, -5		-3	-3
38	38	3/4	3/4	4/4	2	1		V7/bVI	Ab	I		V7/bVI		V		7		bVI				Mm7	0	0	-3, 1, -2, -5		-3	-3
39	39	0	0	4/4	2	1		I/bVI|PAC}	Ab	I		I/bVI		I				bVI		PAC	}	M	0	0	-4, 0, -3		-4	-4
41	41	0	0	4/4	2	1		III.I{	Ab	III		I		I							{	M	0	0	0, 4, 1		0	0
41	41	3/4	3/4	4/4	2	1		IV64	Ab	III		IV64		IV		64						M	0	0	0, -1, 3		-1	0
42	42	0	0	4/4	2	1		I	Ab	III		I		I								M	0	0	0, 4, 1		0	0
43	43	0	0	4/4	2	1		viio2(#2)	Ab	III		viio2(#2)		vii	o	2	#2					o7	0	0	-4, 5, 7, -1		5	-4
43	43	1/3	1/3	4/4	2	1		viio2	Ab	III		viio2		vii	o	2						o7	0	0	-4, 5, 2, -1		5	-4
43	43	3/4	3/4	4/4	2	1		V7	Ab	III		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
44	44	0	0	4/4	2	1		I(6#4#2)	Ab	III		I(6#4#2)		I			6#4#2					M	0	0	0, 9, 6, 3		0	0
44	44	1/2	1/2	4/4	2	1		I|IAC}	Ab	III		I		I						IAC	}	M	0	0	0, 4, 1		0	0
44	44	3/4	3/4	4/4	2	1		{	Ab	III											{		0	0				
45	45	1/2	1/2	4/4	2	1		iv64	Ab	III		iv64		iv		64						m	0	0	0, -1, -4		-1	0
46	46	0	0	4/4	2	1		i	Ab	III		i		i								m	0	0	0, -3, 1		0	0
47	47	0	0	4/4	2	1		I.i6	Ab	I		i6		i		6						m	0	0	-3, 1, 0		0	-3
47	47	1/2	1/2	4/4	2	1		i(b11)	Ab	I		i(b11)		i			b11					m	0	0	0, -3, 1	-8	0	0
48	48	0	0	4/4	2	1		V[V(b6)	Ab	I	V	V(b6)		V			b6					M	0	0	1, 5, -3		1	1
48	48	1/4	1/4	4/4	2	1		V|HC}	Ab	I		V		V						HC	}	M	0	0	1, 5, 2		1	1
49	49	0	0	4/4	2	1		viio2(#2)/V	Ab	I		viio2(#2)/V		vii	o	2	#2	V				o7	0	0	-3, 6, 8, 0		6	-3
49	49	1/4	1/4	4/4	2	1		viio2/V	Ab	I		viio2/V		vii	o	2		V				o7	0	0	-3, 6, 3, 0		6	-3
49	49	1/2	1/2	4/4	2	1		viio7/V	Ab	I		viio7/V		vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
50	50	0	0	4/4	2	1		V7(b9#2)	Ab	I		V7(b9#2)		V		7	b9#2					Mm7	0	0	1, 10, 2, -1	-4	1	1
50	50	1/4	1/4	4/4	2	1		V7(b9)	Ab	I		V7(b9)		V		7	b9					Mm7	0	0	1, 5, 2, -1	-4	1	1
51	51	0	0	4/4	2	1		I(7)	Ab	I		I(7)		I			7					M	0	0	0, 4, 1	5	0	0
51	51	1/4	1/4	4/4	2	1		I	Ab	I		I		I								M	0	0	0, 4, 1		0	0
51	51	1/2	1/2	4/4	2	1		#viio43/ii	Ab	I		#viio43/ii		#vii	o	43		ii				o7	0	0	1, -2, 7, 4		7	1
52	52	0	0	4/4	2	1		V7	Ab	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
52	52	1/2	1/2	4/4	2	1		#viio2(#2)/ii	Ab	I		#viio2(#2)/ii		#vii	o	2	#2	ii				o7	0	0	-2, 7, 9, 1		7	-2
52	52	3/4	3/4	4/4	2	1		#viio2/ii	Ab	I		#viio2/ii		#vii	o	2		ii				o7	0	0	-2, 7, 4, 1		7	-2
53	53	0	0	4/4	2	1		V7	Ab	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
53	53	1/4	1/4	4/4	2	1		#viio7/vi	Ab	I		#viio7/vi		#vii	o	7		vi				o7	0	0	8, 5, 2, -1		8	8
53	53	1/2	1/2	4/4	2	1		IV64	Ab	I		IV64		IV		64						M	0	0	0, -1, 3		-1	0
53	53	3/4	3/4	4/4	2	1		ii	Ab	I		ii		ii								m	0	0	2, -1, 3		2	2
54	54	0	0	4/4	2	1		V7	Ab	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
54	54	1/2	1/2	4/4	2	1		#viio2(#2)/ii	Ab	I		#viio2(#2)/ii		#vii	o	2	#2	ii				o7	0	0	-2, 7, 9, 1		7	-2
54	54	3/4	3/4	4/4	2	1		#viio2/ii	Ab	I		#viio2/ii		#vii	o	2		ii				o7	0	0	-2, 7, 4, 1		7	-2
55	55	0	0	4/4	2	1		V7	Ab	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
55	55	1/4	1/4	4/4	2	1		#viio7/vi	Ab	I		#viio7/vi		#vii	o	7		vi				o7	0	0	8, 5, 2, -1		8	8
55	55	1/2	1/2	4/4	2	1		IV64	Ab	I		IV64		IV		64						M	0	0	0, -1, 3		-1	0
55	55	3/4	3/4	4/4	2	1		ii	Ab	I		ii		ii								m	0	0	2, -1, 3		2	2
56	56	0	0	4/4	2	1		V7	Ab	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
56	56	1/4	1/4	4/4	2	1		#viio7/vi	Ab	I		#viio7/vi		#vii	o	7		vi				o7	0	0	8, 5, 2, -1		8	8
56	56	1/2	1/2	4/4	2	1		IV64	Ab	I		IV64		IV		64						M	0	0	0, -1, 3		-1	0
56	56	3/4	3/4	4/4	2	1		ii	Ab	I		ii		ii								m	0	0	2, -1, 3		2	2
57	57	0	0	4/4	2	1		ii2	Ab	I		ii2		ii		2						mm7	0	0	0, 2, -1, 3		2	0
57	57	1/4	1/4	4/4	2	1		ii+2	Ab	I		ii+2		ii	+	2						+7	0	0	0, 2, 6, 10		2	0
57	57	1/2	1/2	4/4	2	1		IV64(96#4#2)	Ab	I		IV64(96#4#2)		IV		64	96#4#2					M	0	0	12, 2, -1, 8	1	-1	12
57	57	3/4	3/4	4/4	2	1		IV64	Ab	I		IV64		IV		64						M	0	0	0, -1, 3		-1	0
58	58	0	0	4/4	2	1		V7(6)	Ab	I		V7(6)		V		7	6					Mm7	0	0	1, 5, 4, -1		1	1
58	58	3/8	3/8	4/4	2	1		V7	Ab	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
58	58	5/8	5/8	4/4	2	1		vii%7	Ab	I		vii%7		vii	%	7						%7	0	0	5, 2, -1, 3		5	5
60	60	1/2	1/2	3/2	2	1		viio7|HC}	Ab	I		viio7		vii	o	7				HC	}	o7	0	0	5, 2, -1, -4		5	5
60	60	9/8	9/8	3/2	2	1		V{	Ab	I		V		V							{	M	0	0	1, 5, 2		1	1
61	61	0	0	4/4	2	1		V7/IV	Ab	I		V7/IV		V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
61	61	1/2	1/2	4/4	2	1		IV64	Ab	I		IV64		IV		64						M	0	0	0, -1, 3		-1	0
62	62	0	0	4/4	2	1		I	Ab	I		I		I								M	0	0	0, 4, 1		0	0
63	63	0	0	4/4	2	1		V2/IV	Ab	I		V2/IV		V		2		IV				Mm7	0	0	-2, 0, 4, 1		0	-2
63	63	1/2	1/2	4/4	2	1		IV6	Ab	I		IV6		IV		6						M	0	0	3, 0, -1		-1	3
64	64	0	0	4/4	2	1		V6/vi	Ab	I		V6/vi		V		6		vi				M	0	0	8, 5, 4		4	8
66	66	0	0	4/4	2	1		#viio43/ii}	Ab	I		#viio43/ii		#vii	o	43		ii			}	o7	0	0	1, -2, 7, 4		7	1
68	68	0	0	4/4	2	1		viio7/V{	Ab	I		viio7/V		vii	o	7		V			{	o7	0	0	6, 3, 0, -3		6	6
69	69	0	0	4/4	2	1		V7(94)	Ab	I		V7(94)		V		7	94					Mm7	0	0	1, 0, 2, -1	3	1	1
70	70	0	0	4/4	2	1		viio7/V	Ab	I		viio7/V		vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
71	71	0	0	4/4	2	1		V7(94)	Ab	I		V7(94)		V		7	94					Mm7	0	0	1, 0, 2, -1	3	1	1
72	72	0	0	4/4	2	1		viio7/V	Ab	I		viio7/V		vii	o	7		V				o7	0	0	6, 3, 0, -3		6	6
73	73	0	0	4/4	2	1		V7(94)	Ab	I		V7(94)		V		7	94					Mm7	0	0	1, 0, 2, -1	3	1	1
73	73	3/4	3/4	4/4	2	1		V7(9)	Ab	I		V7(9)		V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
74	74	3/4	3/4	4/4	2	1		V7(6)	Ab	I		V7(6)		V		7	6					Mm7	0	0	1, 5, 4, -1		1	1
75	75	1/4	1/4	4/4	2	1		I[I|PAC}{	Ab	I	I	I		I						PAC	}{	M	0	0	0, 4, 1		0	0
76	76	1/4	1/4	4/4	2	1		V7	Ab	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
77	77	1/4	1/4	4/4	2	1		V7/IV	Ab	I		V7/IV		V		7		IV				Mm7	0	0	0, 4, 1, -2		0	0
78	78	0	0	4/4	2	1		IV6	Ab	I		IV6		IV		6						M	0	0	3, 0, -1		-1	3
78	78	1/2	1/2	4/4	2	1		iv6	Ab	I		iv6		iv		6						m	0	0	-4, 0, -1		-1	-4
79	79	0	0	4/4	2	1		V65/bII	Ab	I		V65/bII		V		65		bII				Mm7	0	0	0, -3, -6, -4		-4	0
81	81	1/8	1/8	4/4	2	1		I	Ab	I		I		I								M	0	0	0, 4, 1		0	0
81	81	5/8	5/8	4/4	2	1		V65/bII	Ab	I		V65/bII		V		65		bII				Mm7	0	0	0, -3, -6, -4		-4	0
82	82	1/8	1/8	4/4	2	1		I	Ab	I		I		I								M	0	0	0, 4, 1		0	0
82	82	5/8	5/8	4/4	2	1		V65/bII	Ab	I		V65/bII		V		65		bII				Mm7	0	0	0, -3, -6, -4		-4	0
83	83	1/8	1/8	4/4	2	1		I}	Ab	I		I		I							}	M	0	0	0, 4, 1		0	0
