mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
33	33	0	0	6/8	4	1		I]|PAC}		F#	I		I		I					]	PAC	}	M	0	0	0, 4, 1		0	0
34	34	0	11/16	6/8	4	1		V[V{		F#	I	V	V		V							{	M	0	0	1, 5, 2		1	1
36	36	0	0	6/8	4	1		V7/V		F#	I		V7/V		V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
37	37	0	0	6/8	4	1		V7]		F#	I		V7		V		7			]			Mm7	0	0	1, 5, 2, -1		1	1
38	38	0	0	6/8	4	1		I(74#2)		F#	I		I(74#2)		I			74#2					M	0	0	0, 9, -1, 1	5	0	0
38	38	3/8	3/8	6/8	4	1		I|IAC}		F#	I		I		I						IAC	}	M	0	0	0, 4, 1		0	0
38	38	5/8	5/8	6/8	4	1		ii7/V{		F#	I		ii7/V		ii		7		V			{	mm7	0	0	3, 0, 4, 1		3	3
39	39	0	0	6/8	4	1		V7(4)/V		F#	I		V7(4)/V		V		7	4	V				Mm7	0	0	2, 1, 3, 0		2	2
39	39	1/4	1/4	6/8	4	1		V7/V		F#	I		V7/V		V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
40	40	0	0	6/8	4	1		V7(9)/V		F#	I		V7(9)/V		V		7	9	V				Mm7	0	0	2, 6, 3, 0	4	2	2
40	40	1/4	1/4	6/8	4	1		V7/V|HC}		F#	I		V7/V		V		7		V		HC	}	Mm7	0	0	2, 6, 3, 0		2	2
41	41	5/8	5/8	6/8	4	1		{		F#	I											{		0	0				
42	42	0	0	6/8	4	1		V7(9)		F#	I		V7(9)		V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
42	42	1/4	1/4	6/8	4	1		V7		F#	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
43	43	0	0	6/8	4	1		V7(6)		F#	I		V7(6)		V		7	6					Mm7	0	0	1, 5, 4, -1		1	1
43	43	1/4	1/4	6/8	4	1		V7|HC}		F#	I		V7		V		7				HC	}	Mm7	0	0	1, 5, 2, -1		1	1
46	46	0	0	6/8	4	1		I[I{		F#	I	I	I		I							{	M	0	0	0, 4, 1		0	0
47	47	0	0	6/8	4	1		I(134)		F#	I		I(134)		I			134					M	0	0	0, -1, 1	3	0	0
47	47	1/4	1/4	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
48	48	0	0	6/8	4	1		V7		F#	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
49	49	0	0	6/8	4	1		I(7#2)		F#	I		I(7#2)		I			7#2					M	0	0	0, 9, 1	5	0	0
49	49	1/4	1/4	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
51	51	0	0	6/8	4	1		I(134)		F#	I		I(134)		I			134					M	0	0	0, -1, 1	3	0	0
51	51	1/4	1/4	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
52	52	0	0	6/8	4	1		V7		F#	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
53	53	0	0	6/8	4	1		I|IAC}		F#	I		I		I						IAC	}	M	0	0	0, 4, 1		0	0
54	54	1/32	23/32	6/8	4	1		V[V{		F#	I	V	V		V							{	M	0	0	1, 5, 2		1	1
56	56	0	0	6/8	4	1		V7/V		F#	I		V7/V		V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
57	57	0	0	6/8	4	1		V7]		F#	I		V7		V		7			]			Mm7	0	0	1, 5, 2, -1		1	1
58	58	0	0	6/8	4	1		I(74#2)		F#	I		I(74#2)		I			74#2					M	0	0	0, 9, -1, 1	5	0	0
58	58	3/8	3/8	6/8	4	1		I|IAC}		F#	I		I		I						IAC	}	M	0	0	0, 4, 1		0	0
58	58	5/8	5/8	6/8	4	1		ii7/V{		F#	I		ii7/V		ii		7		V			{	mm7	0	0	3, 0, 4, 1		3	3
59	59	0	0	6/8	4	1		V7(4)/V		F#	I		V7(4)/V		V		7	4	V				Mm7	0	0	2, 1, 3, 0		2	2
59	59	1/4	1/4	6/8	4	1		V7/V		F#	I		V7/V		V		7		V				Mm7	0	0	2, 6, 3, 0		2	2
60	60	0	0	6/8	4	1		V7(9)/V		F#	I		V7(9)/V		V		7	9	V				Mm7	0	0	2, 6, 3, 0	4	2	2
60	60	1/4	1/4	6/8	4	1		V7/V|HC}		F#	I		V7/V		V		7		V		HC	}	Mm7	0	0	2, 6, 3, 0		2	2
61	61	5/8	5/8	6/8	4	1		{		F#	I											{		0	0				
62	62	0	0	6/8	4	1		V7(9)		F#	I		V7(9)		V		7	9					Mm7	0	0	1, 5, 2, -1	3	1	1
62	62	1/4	1/4	6/8	4	1		V7		F#	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
63	63	0	0	6/8	4	1		V7(6)		F#	I		V7(6)		V		7	6					Mm7	0	0	1, 5, 4, -1		1	1
63	63	1/4	1/4	6/8	4	1		V7|HC}		F#	I		V7		V		7				HC	}	Mm7	0	0	1, 5, 2, -1		1	1
71	71	0	0	6/8	4	1		I[I{		F#	I	I	I		I							{	M	0	0	0, 4, 1		0	0
72	72	0	0	6/8	4	1		I(134)		F#	I		I(134)		I			134					M	0	0	0, -1, 1	3	0	0
72	72	1/4	1/4	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
73	73	0	0	6/8	4	1		V7		F#	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
74	74	0	0	6/8	4	1		I(7#2)		F#	I		I(7#2)		I			7#2					M	0	0	0, 9, 1	5	0	0
74	74	1/4	1/4	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
76	76	0	0	6/8	4	1		I(134)		F#	I		I(134)		I			134					M	0	0	0, -1, 1	3	0	0
76	76	1/4	1/4	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
77	77	0	0	6/8	4	1		V7		F#	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
78	78	0	0	6/8	4	1		I|IAC}		F#	I		I		I						IAC	}	M	0	0	0, 4, 1		0	0
78	78	1/2	1/2	6/8	4	1		{		F#	I											{		0	0				
80	80	0	0	6/8	4	1		I(1311)		F#	I		I(1311)		I			1311					M	0	0	0, 4, 1	3, -1	0	0
80	80	1/4	1/4	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
81	81	0	0	6/8	4	1		V7		F#	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
82	82	0	0	6/8	4	1		I(#97)		F#	I		I(#97)		I			#97					M	0	0	0, 4, 1	9, 5	0	0
82	82	1/4	1/4	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
84	84	0	0	6/8	4	1		I(1311)		F#	I		I(1311)		I			1311					M	0	0	0, 4, 1	3, -1	0	0
84	84	1/4	1/4	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
85	85	0	0	6/8	4	1		V7		F#	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
86	86	0	0	6/8	4	1		vi6		F#	I		vi6		vi		6						m	0	0	0, 4, 3		3	0
87	87	0	0	6/8	4	1		V7		F#	I		V7		V		7						Mm7	0	0	1, 5, 2, -1		1	1
88	88	0	0	6/8	4	1		IV		F#	I		IV		IV								M	0	0	-1, 3, 0		-1	-1
89	89	0	0	6/8	4	1		V43		F#	I		V43		V		43						Mm7	0	0	2, -1, 1, 5		1	2
98	98	0	0	6/8	4	1		I}{		F#	I		I		I							}{	M	0	0	0, 4, 1		0	0
99	99	0	0	6/8	4	1		I(13#11#2)		F#	I		I(13#11#2)		I			13#11#2					M	0	0	0, 9, 1	3, 6	0	0
99	99	3/8	3/8	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
100	100	1/8	1/8	6/8	4	1		iv6		F#	I		iv6		iv		6						m	0	0	-4, 0, -1		-1	-4
100	100	3/8	3/8	6/8	4	1		ii%43		F#	I		ii%43		ii	%	43						%7	0	0	-4, 0, 2, -1		2	-4
100	100	1/2	1/2	6/8	4	1		iv6		F#	I		iv6		iv		6						m	0	0	-4, 0, -1		-1	-4
101	101	1/8	1/8	6/8	4	1		iv64		F#	I		iv64		iv		64						m	0	0	0, -1, -4		-1	0
101	101	1/2	1/2	6/8	4	1		ii%2		F#	I		ii%2		ii	%	2						%7	0	0	0, 2, -1, -4		2	0
102	102	0	0	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
103	103	0	0	6/8	4	1		I(13#11#2)		F#	I		I(13#11#2)		I			13#11#2					M	0	0	0, 9, 1	3, 6	0	0
103	103	3/8	3/8	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
104	104	1/8	1/8	6/8	4	1		iv6		F#	I		iv6		iv		6						m	0	0	-4, 0, -1		-1	-4
104	104	3/8	3/8	6/8	4	1		ii%43		F#	I		ii%43		ii	%	43						%7	0	0	-4, 0, 2, -1		2	-4
104	104	1/2	1/2	6/8	4	1		iv6		F#	I		iv6		iv		6						m	0	0	-4, 0, -1		-1	-4
105	105	1/8	1/8	6/8	4	1		iv64		F#	I		iv64		iv		64						m	0	0	0, -1, -4		-1	0
105	105	1/2	1/2	6/8	4	1		ii%2		F#	I		ii%2		ii	%	2						%7	0	0	0, 2, -1, -4		2	0
106	106	0	0	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
107	107	1/8	1/8	6/8	4	1		bVI		F#	I		bVI		bVI								M	0	0	-4, 0, -3		-4	-4
107	107	5/8	5/8	6/8	4	1		Ger6		F#	I		Ger6	Ger	vii	o	65	b3	V				Ger	0	0	-4, 0, -3, 6		6	-4
108	108	0	0	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
109	109	1/8	1/8	6/8	4	1		bVI		F#	I		bVI		bVI								M	0	0	-4, 0, -3		-4	-4
109	109	5/8	5/8	6/8	4	1		Ger6		F#	I		Ger6	Ger	vii	o	65	b3	V				Ger	0	0	-4, 0, -3, 6		6	-4
110	110	0	0	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
111	111	1/4	1/4	6/8	4	1		vi		F#	I		vi		vi								m	0	0	3, 0, 4		3	3
112	112	0	0	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
113	113	1/4	1/4	6/8	4	1		iii6		F#	I		iii6		iii		6						m	0	0	1, 5, 4		4	1
114	114	0	0	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
115	115	1/4	1/4	6/8	4	1		vi		F#	I		vi		vi								m	0	0	3, 0, 4		3	3
116	116	0	0	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
117	117	1/4	1/4	6/8	4	1		iii6		F#	I		iii6		iii		6						m	0	0	1, 5, 4		4	1
118	118	0	0	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
119	119	0	0	6/8	4	1		vi64		F#	I		vi64		vi		64						m	0	0	4, 3, 0		3	4
120	120	0	0	6/8	4	1		I		F#	I		I		I								M	0	0	0, 4, 1		0	0
121	121	0	0	6/8	4	1		iii		F#	I		iii		iii								m	0	0	4, 1, 5		4	4
122	122	0	0	6/8	4	1		I}		F#	I		I		I							}	M	0	0	0, 4, 1		0	0
